timestamp,reqs,success,fail,get,get_ok,post,post_ok,del,del_ok,avg_latency_ms
1.000,200,200,0,164,164,30,30,6,6,1.743096
2.000,200,200,0,162,162,27,27,11,11,1.943000
3.001,200,200,0,172,172,22,22,6,6,1.328874
4.001,200,200,0,152,152,33,33,15,15,1.747914
5.001,200,200,0,168,168,26,26,6,6,1.633360
6.001,202,202,0,164,164,29,29,9,9,1.747654
7.002,200,200,0,159,159,30,30,11,11,1.853048
8.002,200,200,0,154,154,35,35,11,11,1.844254
9.002,199,199,0,167,167,23,23,9,9,1.660773
10.002,203,203,0,167,167,27,27,9,9,1.516676
11.002,199,199,0,159,159,34,34,6,6,1.715684
12.002,200,200,0,155,155,31,31,14,14,1.906572
13.003,201,201,0,164,164,27,27,10,10,1.751135
14.003,200,200,0,153,153,32,32,15,15,1.822369
15.003,199,199,0,164,164,27,27,8,8,1.886588
16.003,201,201,0,159,159,29,29,13,13,1.907343
17.003,200,200,0,159,159,32,32,9,9,1.781572
18.003,200,200,0,161,161,22,22,17,17,1.696205
19.004,199,199,0,160,160,29,29,10,10,1.777994
20.004,199,199,0,162,162,29,29,8,8,1.640767
